channel_name,Title,Video_id,Published_date,Month,Views,Likes,Comments,Duration
John John Florence,POWER TIGER / Pyzel & John John Board Talk,QJlZlJ8RyCM,2024-07-26 19:41:43+00:00,Jul,34568,877,54,0 days 00:10:40
John John Florence,Raw Clips -- LATE SEASON BACKDOOR,ULTzb5MUvT0,2024-06-17 20:33:25+00:00,Jun,71110,1490,93,0 days 00:10:09
John John Florence,Is Winning the End Goal? Full video on my channel,y30Ujck0AXA,2024-06-13 21:38:56+00:00,Jun,7261,399,18,0 days 00:00:49
John John Florence,On the Process of Competing,4VO3JBohPug,2024-06-13 21:07:38+00:00,Jun,48366,1818,117,0 days 00:02:14
John John Florence,Today's Notes - raw clips John & Ivan,0YwEIm-N1Ac,2024-05-17 00:09:01+00:00,May,85742,1795,139,0 days 00:11:53
John John Florence,"Raw clips, full session - Italo, Nate, John John",vq_Deq22PD8,2024-05-10 17:55:44+00:00,May,146334,2438,117,0 days 00:15:36
John John Florence,On finals day - for the one ten @yeticoolers,IvoB0ToeE5w,2024-04-25 18:05:41+00:00,Apr,21031,1436,42,0 days 00:00:59
John John Florence,All for fun and a little karma for burning Nathan 😂 back home on the white tiger,sfg5a9THMhU,2024-04-23 19:46:38+00:00,Apr,23587,964,17,0 days 00:00:18
John John Florence,"Headed back home, excited for some late season waves!!",fL0-yjZC3XA,2024-04-22 17:58:24+00:00,Apr,19217,0,20,0 days 00:00:39
John John Florence,A fun little exploration up the coast with @NathanFlorence,bzIZBkXs1lE,2024-04-12 20:47:33+00:00,Apr,10956,757,24,0 days 00:00:59
John John Florence,WA let’s gooo!! Hyped for this event!!,TWv4ckMkr7c,2024-04-10 21:41:26+00:00,Apr,20286,1609,25,0 days 00:00:23
John John Florence,Last couple days in Portugal,Se9ZLNvrfDc,2024-03-06 06:19:36+00:00,Mar,22196,1355,33,0 days 00:01:00
John John Florence,Surfing the Bay of Biscay,TgcR93Yph8c,2024-03-05 02:31:47+00:00,Mar,10405,708,11,0 days 00:00:13
